trans_date_trans_time,cc_num,merchant,category,amt,gender,city,state,lat,long,city_pop,job,unix_time,merch_lat,merch_long,is_fraud
2019-01-01 07:11:55,377026671291680,fraud_Conroy-Cruickshank,gas_transport,71.06,F,Redford,MO,37.3272,-91.0243,241,Investment analyst,1325401915,36.447073,-91.941927,0
2019-01-01 10:10:27,2706977570537524,fraud_Huels-Nolan,gas_transport,70.17,M,Zaleski,OH,39.283,-82.3977,341,Accounting technician,1325412627,38.340454,-81.412293,0
2019-01-01 10:45:15,30044330818990,fraud_DuBuque LLC,grocery_pos,176.63,F,Fort Myers,FL,26.4722,-81.8122,224256,Paramedic,1325414715,26.258936,-81.972659,0
2019-01-01 11:26:05,376656886990758,fraud_Berge LLC,gas_transport,68.32,M,Zavalla,TX,31.1569,-94.3871,2836,"Designer, jewellery",1325417165,31.680455,-94.08424,0
2019-01-01 12:26:57,30487648872433,fraud_Bednar Inc,travel,5.09,F,Central,IN,38.097,-86.1723,350,Counsellor,1325420817,37.653705,-86.315351,0
2019-01-01 13:07:33,30434173205605,"fraud_Bahringer, Bergnaum and Quitzon",home,106.65,F,Shedd,OR,44.453,-123.1065,917,Radio broadcast assistant,1325423253,43.617342,-122.715918,0
2019-01-01 14:11:41,584673555952,fraud_Cartwright PLC,kids_pets,14.69,F,Coleharbor,ND,47.5196,-101.2332,307,Make,1325427101,47.938229,-102.081699,0
2019-01-01 14:14:45,6538441737335434,fraud_McKenzie-Huels,food_dining,1.57,F,Clarks Mills,PA,41.3851,-80.1752,606,Energy manager,1325427285,40.811879,-80.44414499999999,0
2019-01-01 15:38:16,4481131401752,"fraud_Torp, Muller and Borer",health_fitness,118.71,M,Shrewsbury,MA,42.2848,-71.7205,35299,English as a second language teacher,1325432296,42.446761,-72.651235,0
2019-01-01 16:57:18,2305336922781618,fraud_Abshire PLC,entertainment,6.95,M,Moulton,IA,40.6866,-92.6833,1132,Probation officer,1325437038,41.509349,-93.291055,0
2019-01-01 18:47:23,4560395181594436016,fraud_Larson-Moen,entertainment,177.71,F,Lakeport,CA,39.047,-122.9328,11256,Podiatrist,1325443643,39.494149,-122.893021,0
2019-01-01 20:26:27,3512365128314616,"fraud_Roberts, Daniel and Macejkovic",kids_pets,9.39,M,Arnold,MO,38.4305,-90.387,35439,Land/geomatics surveyor,1325449587,38.800359,-89.919161,0
2019-01-01 23:33:01,4503101193493052864,fraud_Beier and Sons,home,173.49,F,Lakeland,FL,27.9865,-82.0139,237282,Clothing/textile technologist,1325460781,27.430842,-81.818057,0
2019-01-02 01:06:37,4613314721966,fraud_Rutherford-Mertz,grocery_pos,281.06,M,Collettsville,NC,35.9946,-81.7266,885,Soil scientist,1325466397,36.430124,-81.17948299999999,1
2019-01-02 01:47:29,340187018810220,"fraud_Jenkins, Hauck and Friesen",gas_transport,11.52,F,San Antonio,TX,29.44,-98.459,1595797,Horticultural consultant,1325468849,29.819364,-99.142791,1
2019-01-02 03:05:23,340187018810220,fraud_Goodwin-Nitzsche,grocery_pos,276.31,F,San Antonio,TX,29.44,-98.459,1595797,Horticultural consultant,1325473523,29.273085,-98.83636,1
2019-01-02 03:38:03,4613314721966,fraud_Erdman-Kertzmann,gas_transport,7.03,M,Collettsville,NC,35.9946,-81.7266,885,Soil scientist,1325475483,35.909292,-82.09101,1
2019-01-02 03:55:47,340187018810220,fraud_Koepp-Parker,grocery_pos,275.73,F,San Antonio,TX,29.44,-98.459,1595797,Horticultural consultant,1325476547,29.786426,-98.68341,1
2019-01-02 13:38:08,4613314721966,fraud_Medhurst PLC,shopping_net,844.8,M,Collettsville,NC,35.9946,-81.7266,885,Soil scientist,1325511488,35.987802,-81.25433199999999,1
2019-01-02 18:05:46,501831082224,fraud_Gerhold LLC,home,46.91,M,West Decatur,PA,40.9493,-78.3129,1762,Armed forces logistics/support/administrative officer,1325527546,41.5955,-79.137051,0
2019-01-02 23:52:08,4613314721966,fraud_Ruecker Group,misc_net,843.91,M,Collettsville,NC,35.9946,-81.7266,885,Soil scientist,1325548328,35.985612,-81.383306,1
2019-01-03 00:41:08,3538520143479972,fraud_Kiehn Inc,grocery_pos,120.32,F,Clay Center,OH,41.5686,-83.3632,269,Insurance underwriter,1325551268,42.017068,-82.99695600000001,0
2019-01-03 01:05:27,340187018810220,fraud_Conroy-Cruickshank,gas_transport,10.76,F,San Antonio,TX,29.44,-98.459,1595797,Horticultural consultant,1325552727,28.856712,-97.794207,1
2019-01-03 01:35:52,340187018810220,fraud_Koepp-Parker,grocery_pos,332.35,F,San Antonio,TX,29.44,-98.459,1595797,Horticultural consultant,1325554552,29.320662,-97.937219,1
2019-01-03 03:17:36,340187018810220,fraud_Strosin-Cruickshank,grocery_pos,315.34,F,San Antonio,TX,29.44,-98.459,1595797,Horticultural consultant,1325560656,28.953283000000003,-97.806528,1
2019-01-03 04:14:53,4761403817546679245,fraud_Huels-Nolan,gas_transport,76.6,F,Viola,AR,36.3924,-91.9932,1679,Psychiatric nurse,1325564093,37.190527,-91.829841,0
2019-01-03 08:01:58,4045036286570100739,fraud_Hermann and Sons,shopping_pos,3.52,F,Atglen,PA,39.9458,-75.9703,3066,Product manager,1325577718,39.243462,-76.292686,0
2019-01-03 08:53:57,3537797820923602,fraud_Berge LLC,gas_transport,69.87,F,Monitor,WA,47.4852,-120.4158,584,Medical technical officer,1325580837,46.906025,-119.817471,0
